Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/11/2012 4:11:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\ecarroll\Desktop\Mark A-L To final edit\sets1234578_injB_bjp130312.SGF,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj_B_Sol,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blackbird,,Sadie,,Highway 61,,Scytale,,Sam Stonev2,,Sallie Gal,,Daytripper,,Rubber soul,,Corrina,,Nash,,Prudence,,Angelina,
1,1__Inj_B_Set_2_Maf_A01.fsa,97,97,148,148,268,268,69,69,159,163,250,250,100,103,**,**,352,353,108,108,171,171,261,
2,2__Inj_B_Set_2_Maf_A02.fsa,97,97,148,148,268,268,69,69,159,167,250,250,100,103,176,176,352,352,108,108,171,171,261,
3,3__Inj_B_Set_2_Maf_A03.fsa,97,97,148,,**,**,69,69,**,**,250,,**,**,**,**,**,**,108,,**,**,**,**
4,4__Inj_B_Set_2_Maf_A04.fsa,97,97,148,148,**,**,69,69,159,167,250,250,100,100,176,,353,,108,,171,,**,**
5,5__Inj_B_Set_2_Maf_A05.fsa,**,**,**,**,**,**,69,,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
6,6__Inj_B_Set_2_Maf_A06.fsa,**,**,**,**,**,**,69,,163,163,250,250,**,**,**,**,**,**,108,,171,171,**,**
7,7__Inj_B_Set_2_Maf_A07.fsa,97,97,148,148,**,**,69,69,**,**,**,**,**,**,**,**,352,,108,,171,171,261,261
8,8__Inj_B_Set_2_Maf_A08.fsa,**,**,**,**,**,**,69,69,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
9,9__Inj_B_Set_2_Maf_A09.fsa,97,100,148,148,**,**,69,69,159,163,250,250,100,103,176,,352,353,**,**,**,**,**,**
