Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/5/2012 12:25:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\ecarroll\Desktop\Mark A-L To final edit\sets1234578_InjH-final.SGF,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj_H_Sol,,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Callisto,,Coyote,,Nettie Moore,,Blue Jay,,Neil Young,,Lenny Bruce,,Imagine,,Harvest,,Hazel,,Archangel,,,Kitty Pryde,,Workingman Blues,
1,1__Inj_H_Set_2_Maf_A01.fsa,64,64,163,163,260,260,93,104,**,**,**,**,109,109,154,157,258,258,64,64,,167,167,254,257
2,2__Inj_H_Set_2_Maf_A02.fsa,64,64,163,165,261,261,93,104,151,151,**,**,109,116,154,157,258,258,64,64,,167,171,254,256
3,3__Inj_H_Set_2_Maf_A03.fsa,OL,,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,167,169,256,256
4,4__Inj_H_Set_2_Maf_A04.fsa,64,64,165,165,**,**,93,104,148,151,**,**,109,109,151,154,**,**,64,64,,167,167,256,257
5,5__Inj_H_Set_2_Maf_A05.fsa,OL,,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,OL,64,,167,169,256,256
6,6__Inj_H_Set_2_Maf_A06.fsa,OL,64,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,64,64,,167,169,254,254
7,7__Inj_H_Set_2_Maf_A07.fsa,64,64,163,163,**,**,**,**,151,151,**,**,**,**,**,**,**,**,64,,,167,167,254,257
8,8__Inj_H_Set_2_Maf_A08.fsa,64,64,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,167,167,**,**
9,9__Inj_H_Set_2_Maf_A09.fsa,64,64,163,163,264,264,93,104,**,**,**,**,109,109,151,154,258,258,64,64,,167,169,256,256
