Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/5/2012 12:23:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\ecarroll\Desktop\Mark A-L To final edit\sets1234578_Inj J-final.SGF,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj_J_Sol,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rogue,,Sixty_four,,Tombstone_blues,,Sheeana,,McCartney,,Ramble,,Banshee,,Cohn,,Fremen,,Apocalypse,,Sun_King,,Alberta,
1,1__Inj_J_Set_2_Maf_A01.fsa,67,67,147,147,242,245,75,75,149,149,248,248,71,71,145,145,318,318,79,79,150,150,**,**
2,2__Inj_J_Set_2_Maf_A02.fsa,67,67,147,147,242,245,75,75,149,149,248,248,71,71,145,145,**,**,79,79,150,150,**,**
3,3__Inj_J_Set_2_Maf_A03.fsa,67,67,**,**,**,**,**,**,**,**,**,**,71,71,**,**,**,**,**,**,**,**,**,**
4,4__Inj_J_Set_2_Maf_A04.fsa,67,67,147,147,242,242,75,75,149,149,248,248,71,71,145,145,**,**,79,79,150,150,**,**
5,5__Inj_J_Set_2_Maf_A05.fsa,67,67,**,**,**,**,75,75,**,**,**,**,71,71,**,**,**,**,**,**,**,**,**,**
6,6__Inj_J_Set_2_Maf_A06.fsa,67,67,147,147,242,242,75,75,149,149,246,248,71,71,145,145,**,**,79,79,150,150,**,**
7,7__Inj_J_Set_2_Maf_A07.fsa,67,67,147,147,245,245,75,75,149,149,246,246,71,71,145,145,318,318,79,79,150,150,**,**
8,8__Inj_J_Set_2_Maf_A08.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
9,9__Inj_J_Set_2_Maf_A09.fsa,67,67,147,147,242,245,75,75,149,149,**,**,71,71,145,145,**,**,79,79,150,150,**,**
