Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/15/2012 3:01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\ecarroll\Desktop\Mark A-L To final edit\sets1234578_Inj I-e2.final.SGF,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj_I_Sol,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Devil,,Cripple Creek,,Chani,,Beatles,,Jam_session,,Sabertooth,,Liet_Kynes,,Black_Crow,,Tom_Thumb,,Carnival,,Mr_Soul,,Tleilaxu,
1,1__Inj_I_Set_2_Maf_A01.fsa,104,104,241,241,**,**,116,116,244,244,315,315,66,66,167,169,253,253,129,139,228,228,332,332
2,2__Inj_I_Set_2_Maf_A02.fsa,104,104,241,241,**,**,116,116,244,253,315,315,66,66,169,169,253,253,129,139,228,228,332,332
3,3__Inj_I_Set_2_Maf_A03.fsa,**,**,OL,241,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
4,4__Inj_I_Set_2_Maf_A04.fsa,104,104,241,241,**,**,116,116,**,**,**,**,66,66,161,165,253,253,129,129,228,228,332,332
5,5__Inj_I_Set_2_Maf_A05.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,132,132,**,**,**,**
6,6__Inj_I_Set_2_Maf_A06.fsa,104,104,**,**,**,**,**,**,244,244,**,**,**,**,**,**,253,253,**,**,**,**,**,**
7,7__Inj_I_Set_2_Maf_A07.fsa,104,104,241,241,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
8,8__Inj_I_Set_2_Maf_A08.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
9,9__Inj_I_Set_2_Maf_A09.fsa,104,104,241,241,**,**,116,116,238,238,**,**,66,66,169,169,253,253,129,129,228,228,332,332
